DATE,20.0-31.7,31.7-50.2,50.2-79.6,79.6-126.2,126.2-200.0,200.0-317.0,317.0-502.4,502.4-796.2,796.2-1261.9,1261.9-2000.0
1999-04-01T16:00:00,11.5,10.88,10.33,9.14,7.51,5.48,2.29,1.6,0.77,0.0
1999-04-02T16:00:00,11.35,10.08,9.54,8.64,8.38,5.75,2.49,1.08,0.77,0.37
1999-04-03T16:00:00,10.96,10.52,9.54,9.52,7.39,6.41,3.62,2.18,1.64,0.19
1999-04-04T16:00:00,11.73,11.45,10.65,9.75,9.78,8.2,7.09,3.2,3.16,2.11
1999-04-05T16:00:00,12.29,12.36,12.41,11.89,12.15,11.12,8.92,5.77,3.75,2.18
1999-04-06T16:00:00,12.91,13.61,14.61,14.71,14.78,14.81,9.37,6.42,2.73,2.41
1999-04-07T16:00:00,13.16,14.45,15.79,17.02,18.0,17.42,13.2,6.88,4.63,1.36
1999-04-08T16:00:00,13.37,14.58,16.2,18.1,19.54,18.59,12.7,7.08,6.41,0.69
1999-04-09T16:00:00,14.05,15.5,17.37,18.29,19.53,17.07,12.97,7.9,4.41,1.33
1999-04-10T16:00:00,14.21,15.83,18.46,18.77,20.87,18.46,13.04,8.75,5.22,1.54
1999-04-11T16:00:00,13.88,16.74,18.02,20.11,21.55,18.03,11.39,7.03,3.55,0.62
1999-04-12T16:00:00,14.44,16.22,18.2,19.67,19.91,15.8,10.48,3.61,3.45,0.59
1999-04-13T16:00:00,14.01,16.85,17.36,18.12,17.84,14.88,7.64,5.16,1.64,0.36
1999-04-14T16:00:00,13.45,15.26,16.96,17.57,14.61,11.43,7.57,3.04,0.93,0.0
1999-04-15T16:00:00,13.17,14.0,15.02,15.53,13.47,9.78,7.11,3.01,1.37,0.0
1999-04-16T16:00:00,13.03,13.64,13.59,12.19,10.69,9.36,5.43,3.17,1.35,0.0
1999-04-17T16:00:00,12.27,12.55,11.8,11.03,8.8,7.98,6.86,2.0,1.39,0.21
1999-04-18T16:00:00,11.18,11.94,11.39,9.25,7.46,5.41,5.25,3.79,0.87,0.43
1999-04-19T16:00:00,11.19,11.06,9.31,8.12,6.7,5.96,4.43,2.71,2.05,0.57
1999-04-20T16:00:00,10.78,10.26,9.4,7.72,6.37,5.98,3.71,2.28,1.58,1.61
1999-04-21T16:00:00,10.19,9.52,8.39,7.03,5.58,3.61,3.01,1.88,1.61,1.43
1999-04-22T16:00:00,10.28,9.67,8.58,6.11,5.04,4.24,3.66,1.52,1.57,0.95
1999-04-23T16:00:00,10.62,10.01,8.65,7.16,4.79,4.25,4.02,1.79,2.08,1.13
